Month,Returns,Sharpe Ratio
1,-0.3502716217750158,-35.22716217750158
2,0.8906628203639556,1.4322478129177993
3,-0.2777494502685644,-0.49194524576076454
4,-0.13120332314929023,-0.2656096158174094
5,0.4541867313938571,0.9436857096888985
6,-0.11794693303170578,-0.26887434981175323
7,-0.21526231600724033,-0.5105220146519348
8,0.10256122847109274,0.25222887863967497
9,-0.6127693314277051,-1.43341111052175
10,3.497477409364907,3.0840986345486847
11,-0.023297465320965327,-0.023310400926373057
12,-0.29220569664599017,-0.279788309802045
13,-0.3928464599999956,-0.38543551747983157
14,0.8020050398112327,0.8004330756859491
15,-0.06577642465512065,-0.06997751434837042
16,-0.46323062431544193,-0.48859982472381064
17,1.0730739201656714,1.1303152793971996
18,-0.33002627321697453,-0.35712426295084204
19,0.4119259976129506,0.452359219490175
20,-0.7545200954831156,-0.8333192442132135
21,-1.6082831890357936,-1.6726924918536874
22,-7.212739662963669,-4.039667537024772
23,-0.72347726405059,-0.4147185734286707
