Ticker,Intrinsic Value
AAPL,207.41
MSFT,396.54
GOOGL,167.44
NVDA,108.46
META,580.44
JPM,241.82
BAC,39.55
WFC,70.13
C,61.04
GS,541.43
PG,188.31
KO,77.97
PEP,168.6
MO,64.48
MNST,59.93
JNJ,160.9
PFE,24.12
MRNA,
LLY,848.94
UNH,538.7
XOM,109.56
CVX,164.77
COP,90.6
PSX,103.75
SLB,34.81
TSLA,251.4
F,10.06
GM,46.39
RIVN,
LCID,
AMZN,196.65
WMT,87.35
COST,940.31
TGT,100.51
HD,379.38
BA,
LMT,453.76
NOC,509.8
GD,285.26
RTX,123.21
VZ,45.18
T,30.64
DIS,96.06
NFLX,984.24
CMCSA,38.39
AMD,90.05
TSM,168.82
INTC,
AVGO,168.23
QCOM,146.58
