Ticker,Bid-Ask Spread (%),Turnover Ratio,Amihud's Illiquidity Ratio
AAPL,0.334102298942007,1.9533409595441444e-05,1.4056891850598372e-12
MSFT,10.06657058540938,9.17528607376853e-06,1.3930977651564206e-12
GOOGL,3.5695574726694934,2.0377475909601243e-05,3.1429588616536653e-12
NVDA,0.1694735727147512,0.00013279184163166296,8.919121704593503e-13
META,5.442924487375994,1.4174410000690422e-05,2.288637581075449e-12
JPM,2.3077467613676657,2.097235020239971e-05,5.741676411114243e-12
BAC,0.43827611395178556,0.00017981785677142245,8.627993594609248e-12
WFC,0.9655511005645958,8.710388796476115e-05,1.560660496611145e-11
C,0.2236943990363978,0.00016358099400154414,1.5029141238890417e-11
GS,0.1658092768164682,2.1628285800005505e-05,1.2729783009858836e-11
PG,0.6688963210702307,2.219995102924549e-05,7.330975654367098e-12
KO,0.14316392269149397,6.65349936989834e-05,7.433794045349854e-12
PEP,10.627231004589493,3.813828587258868e-05,9.588134859579106e-12
MO,0.4976892996800589,0.00012783662564150525,1.9427031096330468e-11
MNST,6.169796889606519,0.0001169519416891267,2.931863423016481e-11
JNJ,0.3056612363021487,2.7495587801462188e-05,6.2686335511576305e-12
PFE,0.34843205574912145,0.0004193172044342901,1.0198802319135802e-11
MRNA,0.8338296605122132,0.0010420421605276196,1.0133445930201356e-10
LLY,-3.782247485789237,5.295297654173385e-06,6.387927910547934e-12
UNH,-1.7045454545454544,1.0156553760541224e-05,4.689563240214168e-12
XOM,1.2788700133613318,3.938413380787009e-05,6.531505546322356e-12
CVX,0.2791346824843026,3.740958669105015e-05,9.650181988475093e-12
COP,0.7991198100642743,9.656981143241759e-05,2.0768432701217768e-11
PSX,-0.5258899676375365,9.017457866345959e-05,4.344418006316906e-11
SLB,-0.0862936861786312,0.0003975882240933254,2.136192745409121e-11
TSLA,7.641148423271324,0.00016977949886681903,1.3738095989743996e-12
F,0.4179728317659263,0.003621703828764535,1.3850918653460183e-11
GM,0.6538158043061642,0.00040647177988516176,2.611982906029569e-11
RIVN,0.8046490835940979,0.0025329209452126375,8.351763996914837e-11
LCID,2.631578947368423,0.015633320432996967,1.6509200614714225e-10
AMZN,3.628792385484827,2.7829051307178772e-05,2.016109352451586e-12
WMT,0.4578313253011994,3.801207303144284e-05,7.729775331138232e-12
COST,0.26510585142072335,6.382546887679125e-06,6.142413004930058e-12
TGT,-0.345495471915419,0.00021141393962027455,1.8044203042426226e-11
HD,0.16963528413910736,1.2053796876098844e-05,9.061862836309324e-12
BA,0.2266993308713315,8.831268407178128e-05,1.5616827487670282e-11
LMT,0.5881271825032169,1.745579723313525e-05,1.6127517826557663e-11
NOC,4.551455987690897,1.5430946285413238e-05,2.4860750773427058e-11
GD,3.0065517102777397,2.4972658859668335e-05,2.6797913089498446e-11
RTX,-0.9635702814639512,3.436168986267381e-05,1.7296456561795285e-11
VZ,0.09291521486643241,0.00015301375491286382,1.1541277665299982e-11
T,0.2261590652091923,0.00024690553864073375,1.1038681665835678e-11
DIS,-0.05993407252022434,6.898132211827099e-05,1.4691461314371985e-11
NFLX,0.33409653754497615,1.404987375224189e-05,4.6162245801390115e-12
CMCSA,0.209800689345123,0.0002226884023087222,1.3877621392285874e-11
AMD,9.348799816239808,0.00025638978744476715,6.758483152480917e-12
TSM,-0.06903693476009272,2.2967904705644404e-05,8.18616666169211e-12
INTC,0.5531807895398693,0.0012304461042998538,1.202458878571136e-11
AVGO,8.16035332087652,5.153052463924083e-05,5.036734229787806e-12
QCOM,9.111581588645812,5.862894557443083e-05,1.352404334723143e-11
