Sector,Avg Last Price,Avg Open Price,Avg Highest,Avg Lowest
Technology,258.57200317382814,262.31199951171874,268.73400115966797,255.7020050048828
Banking & Financials,166.91799926757812,172.11999969482423,173.8959991455078,163.72399826049804
Consumer Goods,98.68800048828125,102.86800155639648,104.07200164794922,98.50200119018555
Pharma & Healthcare,292.91600303649903,302.20900077819823,305.9400035858154,291.8362064361572
Energy,93.4999984741211,98.75599899291993,99.41800155639649,92.36800079345703
Automobile,61.33599858283996,64.5340006351471,65.83599977493286,60.06999979019165
Retail & E-commerce,324.05799560546876,330.0679962158203,338.47400360107423,320.49000549316406
Aerospace & Defense,284.343994140625,299.5519989013672,301.9640060424805,283.38200225830076
Telecom & Media,208.48799667358398,218.0379997253418,220.75000076293946,207.92399940490722
Semiconductors,105.2319995880127,109.03999862670898,110.65000076293946,102.8119987487793
